"CDKN1B"	"CDKN1B"
"KLF4"	"KLF4"
"AP1M1"	"AP1M1"
"RAB8A"	"RAB8A"
"HMGN2"	"HMGN2"
"FAM32A"	"FAM32A"
"ELF3"	"ELF3"
"CYP2C29"	"CYP2C29"
"STARD3NL"	"STARD3NL"
"STK11"	"STK11"
"EFNA2"	"EFNA2"
"ATP5D"	"ATP5D"
"PPP5C"	"PPP5C"
"CDK12"	"CDK12"
"LIPE"	"LIPE"
"PAFAH1B2"	"PAFAH1B2"
"TBC1D8"	"TBC1D8"
"CNOT11"	"CNOT11"
"SLC2A3"	"SLC2A3"
"FOXJ2"	"FOXJ2"
"SRI"	"SRI"
"DGCR2"	"DGCR2"
"IRF3"	"IRF3"
"BCL2L12"	"BCL2L12"
"ZFP959"	"ZFP959"
"MPND"	"MPND"
"SH3GL1"	"SH3GL1"
"EBI3"	"EBI3"
"CCDC94"	"CCDC94"
"RANBP2"	"RANBP2"
"EDAR"	"EDAR"
"GRK5"	"GRK5"
"DVL3"	"DVL3"
"ABCF3"	"ABCF3"
"EIF2B5"	"EIF2B5"
"CYTH2"	"CYTH2"
"SULT2B1"	"SULT2B1"
"CAR11"	"CAR11"
"DLGAP1"	"DLGAP1"
"PLAG1"	"PLAG1"
"HCK"	"HCK"
"MRPL4"	"MRPL4"
"KEAP1"	"KEAP1"
"AP1M2"	"AP1M2"
"GLG1"	"GLG1"
"ATP8B3"	"ATP8B3"
"BTBD2"	"BTBD2"
"CSNK1G2"	"CSNK1G2"
"ABHD17A"	"ABHD17A"
"MOB3A"	"MOB3A"
"CACNB3"	"CACNB3"
"CCDC65"	"CCDC65"
"FKBP11"	"FKBP11"
"DDX23"	"DDX23"
"PLD3"	"PLD3"
"GRIK5"	"GRIK5"
"CD79A"	"CD79A"
"RABAC1"	"RABAC1"
"ETV3"	"ETV3"
"PRKCSH"	"PRKCSH"
"ELAVL3"	"ELAVL3"
"RAB3B"	"RAB3B"
"ST8SIA6"	"ST8SIA6"
"FCGRT"	"FCGRT"
"NOSIP"	"NOSIP"
"PIH1D1"	"PIH1D1"
"RPS11"	"RPS11"
"SUPT5"	"SUPT5"
"DLL3"	"DLL3"
"PAF1"	"PAF1"
"TIMM50"	"TIMM50"
"MED29"	"MED29"
"BICD1"	"BICD1"
"NCSTN"	"NCSTN"
"PEX19"	"PEX19"
"PHYHIP"	"PHYHIP"
"CRHR2"	"CRHR2"
"INMT"	"INMT"
"CYP4F18"	"CYP4F18"
"IMPDH1"	"IMPDH1"
"PSG18"	"PSG18"
"DUSP3"	"DUSP3"
"PRODH"	"PRODH"
"DGCR14"	"DGCR14"
"SLC25A1"	"SLC25A1"
"DGCR6"	"DGCR6"
"DDR1"	"DDR1"
"IER3"	"IER3"
"FOSB"	"FOSB"
"KLC4"	"KLC4"
"ERCC1"	"ERCC1"
"CYP17A1"	"CYP17A1"
"AS3MT"	"AS3MT"
"HOMER3"	"HOMER3"
"CRTC1"	"CRTC1"
"RNF215"	"RNF215"
"SEC14L2"	"SEC14L2"
"AVEN"	"AVEN"
"CP"	"CP"
"CROT"	"CROT"
"RPS6KA1"	"RPS6KA1"
"CALB2"	"CALB2"
"SNRNP200"	"SNRNP200"
"CIAO1"	"CIAO1"
"HAS1"	"HAS1"
"TAF6L"	"TAF6L"
"INSIG2"	"INSIG2"
"KPNA6"	"KPNA6"
"MAN1A"	"MAN1A"
"ITPKC"	"ITPKC"
"COQ8B"	"COQ8B"
"BRD8"	"BRD8"
"KIF20A"	"KIF20A"
"FARSA"	"FARSA"
"GCDH"	"GCDH"
"MAST2"	"MAST2"
"DNASE2A"	"DNASE2A"
"RAD23A"	"RAD23A"
"CALR"	"CALR"
"SYCE2"	"SYCE2"
"NFAT5"	"NFAT5"
"NOB1"	"NOB1"
"NQO1"	"NQO1"
"PPFIA3"	"PPFIA3"
"GYS1"	"GYS1"
"RUVBL2"	"RUVBL2"
"LIN7B"	"LIN7B"
"BAX"	"BAX"
"IL7R"	"IL7R"
"TFAM"	"TFAM"
"ZFP81"	"ZFP81"
"EFNB3"	"EFNB3"
"MMD"	"MMD"
"HLF"	"HLF"
"FAM162A"	"FAM162A"
"RPL8"	"RPL8"
"GRM3"	"GRM3"
"SSBP2"	"SSBP2"
"FANCL"	"FANCL"
"BRINP2"	"BRINP2"
"GSTM5"	"GSTM5"
"GSTM7"	"GSTM7"
"GSTM3"	"GSTM3"
"STAT3"	"STAT3"
"STAT5A"	"STAT5A"
"PTRF"	"PTRF"
"MAP3K11"	"MAP3K11"
"AKT2"	"AKT2"
"DNAJA3"	"DNAJA3"
"HMOX2"	"HMOX2"
"CDIP1"	"CDIP1"
"MAP3K20"	"MAP3K20"
"CWC15"	"CWC15"
"COL5A3"	"COL5A3"
"DNMT1"	"DNMT1"
"PPAN"	"PPAN"
"ANGPTL2"	"ANGPTL2"
"CACNA1E"	"CACNA1E"
"CACNA1B"	"CACNA1B"
"TRMT10A"	"TRMT10A"
"ETV1"	"ETV1"
"KIFC2"	"KIFC2"
"PSAP"	"PSAP"
"IKBKG"	"IKBKG"
"PAX2"	"PAX2"
"WARS2"	"WARS2"
"ATN1"	"ATN1"
"PHB2"	"PHB2"
"PTPN6"	"PTPN6"
"ENO2"	"ENO2"
"EMG1"	"EMG1"
"LPCAT3"	"LPCAT3"
"ATP6V1F"	"ATP6V1F"
"IL12B"	"IL12B"
"CLCN5"	"CLCN5"
"CLCN3"	"CLCN3"
"HIF3A"	"HIF3A"
"GPX6"	"GPX6"
"GPX5"	"GPX5"
"PDE1C"	"PDE1C"
"UTP20"	"UTP20"
"SPIC"	"SPIC"
"9330159F19RIK"	"9330159F19RIK"
"CUL3"	"CUL3"
"SST"	"SST"
"IL11"	"IL11"
"LARGE1"	"LARGE1"
"DDX56"	"DDX56"
"TMED4"	"TMED4"
"COL26A1"	"COL26A1"
"BID"	"BID"
"RALB"	"RALB"
"PPP1CC"	"PPP1CC"
"DNAJB11"	"DNAJB11"
"TBCCD1"	"TBCCD1"
"CLEC11A"	"CLEC11A"
"ZFP324"	"ZFP324"
"GAB2"	"GAB2"
"CORO1C"	"CORO1C"
"TAX1BP1"	"TAX1BP1"
"PSG17"	"PSG17"
"PSG19"	"PSG19"
"CTSE"	"CTSE"
"NDRG2"	"NDRG2"
"METTL17"	"METTL17"
"ARHGEF40"	"ARHGEF40"
"PNPLA6"	"PNPLA6"
"MCOLN1"	"MCOLN1"
"ARHGEF18"	"ARHGEF18"
"PKN2"	"PKN2"
"CD33"	"CD33"
"ETFB"	"ETFB"
"NKG7"	"NKG7"
"STXBP2"	"STXBP2"
"PCP2"	"PCP2"
"SGCE"	"SGCE"
"CHN2"	"CHN2"
"WWOX"	"WWOX"
"SLBP"	"SLBP"
"TYR"	"TYR"
"GHRHR"	"GHRHR"
"AQP1"	"AQP1"
"ARID3B"	"ARID3B"
"CNN2"	"CNN2"
"POLR2E"	"POLR2E"
"ABCA13"	"ABCA13"
"MYO9B"	"MYO9B"
"HDAC9"	"HDAC9"
"LY9"	"LY9"
"CD244"	"CD244"
"ADGRE1"	"ADGRE1"
"MTFP1"	"MTFP1"
"RAB23"	"RAB23"
"RAB11A"	"RAB11A"
"EIF2B2"	"EIF2B2"
"DLST"	"DLST"
"PGF"	"PGF"
"ULK2"	"ULK2"
"CCL24"	"CCL24"
"DGKQ"	"DGKQ"
"TMED11"	"TMED11"
"GRAP"	"GRAP"
"POU1F1"	"POU1F1"
"CHMP2B"	"CHMP2B"
"PLOD3"	"PLOD3"
"AP1S1"	"AP1S1"
"MAPK13"	"MAPK13"
"SRPK1"	"SRPK1"
"PAX3"	"PAX3"
"LBR"	"LBR"
"CRABP2"	"CRABP2"
"NES"	"NES"
"BCAN"	"BCAN"
"HAPLN2"	"HAPLN2"
"PRCC"	"PRCC"
"RRNAD1"	"RRNAD1"
"HDGF"	"HDGF"
"SLC25A18"	"SLC25A18"
"THOP1"	"THOP1"
"APBA3"	"APBA3"
"MATK"	"MATK"
"PIAS4"	"PIAS4"
"MAP2K1"	"MAP2K1"
"SGTA"	"SGTA"
"NMRK2"	"NMRK2"
"TMEM242"	"TMEM242"
"DTX2"	"DTX2"
"ZP3"	"ZP3"
"HSPB1"	"HSPB1"
"RASA4"	"RASA4"
"SYT5"	"SYT5"
"HNRNPA2B1"	"HNRNPA2B1"
"FXYD4"	"FXYD4"
"CCDC130"	"CCDC130"
"MRI1"	"MRI1"
"PRKACB"	"PRKACB"
"SGSH"	"SGSH"
"CHD5"	"CHD5"
"CSTB"	"CSTB"
"SH2B2"	"SH2B2"
"PEX5"	"PEX5"
"JKAMP"	"JKAMP"
"CD44"	"CD44"
"SLC1A2"	"SLC1A2"
"EIF2AK4"	"EIF2AK4"
"WDR1"	"WDR1"
"SLC2A9"	"SLC2A9"
"WISP1"	"WISP1"
"NDRG1"	"NDRG1"
"4930550C14RIK"	"4930550C14RIK"
"MAN2B1"	"MAN2B1"
"KLF5"	"KLF5"
"WDR83"	"WDR83"
"PRDX2"	"PRDX2"
"POLR2A"	"POLR2A"
"SHBG"	"SHBG"
"SENP3"	"SENP3"
"CORIN"	"CORIN"
"PLEKHA8"	"PLEKHA8"
"G6PC2"	"G6PC2"
"SPC25"	"SPC25"
"DNAH2"	"DNAH2"
"RIPK4"	"RIPK4"
"UFD1L"	"UFD1L"
"ZFP287"	"ZFP287"
"PRLR"	"PRLR"
"LETM1"	"LETM1"
"UBQLN1"	"UBQLN1"
"FGFR4"	"FGFR4"
"CADM3"	"CADM3"
"FCER1A"	"FCER1A"
"TXN2"	"TXN2"
"CASP14"	"CASP14"
"SLC1A6"	"SLC1A6"
"SLC1A3"	"SLC1A3"
"CRBN"	"CRBN"
"IL5RA"	"IL5RA"
"MSH6"	"MSH6"
"FBXO11"	"FBXO11"
"MLXIPL"	"MLXIPL"
"TBL2"	"TBL2"
"WBSCR22"	"WBSCR22"
"NID1"	"NID1"
"MCM5"	"MCM5"
"HMOX1"	"HMOX1"
"MPRIP"	"MPRIP"
"CIC"	"CIC"
"PAFAH1B3"	"PAFAH1B3"
"IL27RA"	"IL27RA"
"PRKACA"	"PRKACA"
"ASF1B"	"ASF1B"
"MYL10"	"MYL10"
"DDX39"	"DDX39"
"DNAJB1"	"DNAJB1"
"MSH4"	"MSH4"
"USP40"	"USP40"
"EVX1"	"EVX1"
"KBTBD4"	"KBTBD4"
"CELF1"	"CELF1"
"NDUFS3"	"NDUFS3"
"POR"	"POR"
"IGF1R"	"IGF1R"
"INSR"	"INSR"
"FCER2A"	"FCER2A"
"CYP2A5"	"CYP2A5"
"ATP4A"	"ATP4A"
"TRIM28"	"TRIM28"
"UBE2M"	"UBE2M"
"ADCY9"	"ADCY9"
"MEF2C"	"MEF2C"
"CTR9"	"CTR9"
"EIF4G2"	"EIF4G2"
"MRVI1"	"MRVI1"
"PCYT1A"	"PCYT1A"
"ZFP592"	"ZFP592"
"PSMD4"	"PSMD4"
"TMOD4"	"TMOD4"
"INSRR"	"INSRR"
"CABP5"	"CABP5"
"SNX6"	"SNX6"
"MTHFD2"	"MTHFD2"
"KIT"	"KIT"
"TOMM40L"	"TOMM40L"
"NR1I3"	"NR1I3"
"APOA2"	"APOA2"
"PAN2"	"PAN2"
"CS"	"CS"
"AMPD3"	"AMPD3"
"BCAS2"	"BCAS2"
"SH2D1A"	"SH2D1A"
"CTCF"	"CTCF"
"PARD6A"	"PARD6A"
"AGRP"	"AGRP"
"PVALB"	"PVALB"
"TFAP4"	"TFAP4"
"RANBP1"	"RANBP1"
"CD247"	"CD247"
"RFX5"	"RFX5"
"PSMB4"	"PSMB4"
"MMP8"	"MMP8"
"SLC30A4"	"SLC30A4"
"SQRDL"	"SQRDL"
"BLOC1S6"	"BLOC1S6"
"METAP1"	"METAP1"
"GPR108"	"GPR108"
"TNFSF14"	"TNFSF14"
"GATA6"	"GATA6"
"RSL1D1"	"RSL1D1"
"CNGA2"	"CNGA2"
"APC"	"APC"
"REEP5"	"REEP5"
"ERGIC3"	"ERGIC3"
"UQCC1"	"UQCC1"
"SPO11"	"SPO11"
"NCOA2"	"NCOA2"
"PRL4A1"	"PRL4A1"
